ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3008466,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008467,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008468,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001708,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008469,OXA beta-lactamase;OXA-213-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008470,OXA beta-lactamase;OXA-679-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008471,OXA beta-lactamase;OXA-229-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008472,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008473,OXA beta-lactamase;OXA-48-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008474,OXA beta-lactamase;OXA-198-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008475,OXA beta-lactamase;OXA-198-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008476,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008477,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3001637,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008478,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008479,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008480,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008481,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008482,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008483,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008484,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008485,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008486,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008487,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3001638,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008488,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008489,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008490,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008491,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008492,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008493,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008494,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008495,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008496,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008497,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3001639,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008498,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008499,OXA beta-lactamase;OXA-24-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008500,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008501,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008502,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008503,OXA beta-lactamase;OXA-2-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008504,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008505,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008506,OXA beta-lactamase;OXA-10-like beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3008507,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3001640,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
ARO:3008508,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008509,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3008510,OXA beta-lactamase;OXA-51-like beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation
