ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3005099,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3002523,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002524,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002525,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002526,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002527,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004628,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003988,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002528,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002530,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002600,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
ARO:3002531,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002529,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002533,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002534,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002535,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004623,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004621,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3005085,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002536,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002537,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002538,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002539,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3005061,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002543,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002540,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002541,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002542,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002544,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002583,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002584,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002599,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
ARO:3002585,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002586,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003989,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002588,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002587,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004641,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004638,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002545,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002571,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002572,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002573,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002574,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002575,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003677,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003199,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003200,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3007204,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002546,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003676,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002581,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002582,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002576,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002577,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002578,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002579,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002580,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002547,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3007770,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3007771,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005112,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005114,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005115,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005116,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005117,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005118,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3005119,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation
ARO:3002592,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002593,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002591,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002549,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002597,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
ARO:3002553,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002554,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002555,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002556,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002594,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002595,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002596,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002589,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002590,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002557,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002558,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004635,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004629,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002559,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002560,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002561,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002562,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002563,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002564,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002565,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002566,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002567,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002568,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002569,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002570,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002628,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002601,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004692,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002611,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002612,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002613,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002614,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002615,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002616,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002617,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002602,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002618,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002619,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002620,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002621,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003197,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004682,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002603,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002604,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002605,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002606,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002622,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002607,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002608,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004704,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002609,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002627,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004683,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
ARO:3007669,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux
ARO:3006863,AAK beta-lactamase,carbapenem,antibiotic inactivation
ARO:3003942,ATP-binding cassette (ABC) antibiotic efflux pump,cephalosporin;moenomycin antibiotic;penicillin beta-lactam;peptide antibiotic,antibiotic efflux
ARO:3000753,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux
ARO:3000768,small multidrug resistance (SMR) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic,antibiotic efflux
ARO:3001815,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006228,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006229,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006230,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006231,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3001816,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3001817,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3001818,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3001819,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006232,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3006233,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation
ARO:3004359,ACI beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3004573,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,antibiotic efflux
ARO:3004574,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
ARO:3004578,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;glycylcycline;penicillin beta-lactam;tetracycline antibiotic,antibiotic efflux
ARO:3003796,ampC-type beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3004577,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic,antibiotic efflux
ARO:3003817,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration
ARO:3003809,Outer Membrane Porin (Opr),carbapenem;cephalosporin;monobactam;penicillin beta-lactam,reduced permeability to antibiotic;resistance by absence
ARO:3003818,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration
ARO:3000216,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux
ARO:3000491,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
ARO:3000499,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;penicillin beta-lactam,antibiotic efflux
ARO:3000502,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;penicillin beta-lactam,antibiotic efflux
ARO:3000656,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux
ARO:3001821,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001832,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007883,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007884,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007885,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007886,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007887,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007888,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007889,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007890,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007891,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007892,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007893,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007894,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007895,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007896,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007897,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007898,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007899,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007900,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007901,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001834,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007902,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007903,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007904,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007905,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007906,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001835,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007907,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001836,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007908,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007909,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007910,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007911,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007912,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007913,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007914,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007915,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001837,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007916,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007917,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007918,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007919,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007920,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007921,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007922,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007923,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007924,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001827,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007925,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007926,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007927,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007928,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007929,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007930,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007931,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007932,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001838,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007933,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007934,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007935,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007936,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007937,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007938,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007939,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007940,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007941,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007942,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001839,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007943,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007944,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007945,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007946,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007947,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007948,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007949,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007950,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007951,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007952,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001840,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007953,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007954,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007955,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007956,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3007957,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001822,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001841,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001842,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001843,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001828,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001844,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001845,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001847,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001848,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001849,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001823,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001850,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001851,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001852,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001853,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001854,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001855,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3003171,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3003172,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3003655,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006234,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001829,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006235,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006236,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006237,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006238,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006239,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006240,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006241,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006242,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006243,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006244,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001824,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006245,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006246,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006247,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006248,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006249,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006250,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006251,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006252,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006253,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006254,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3001825,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
ARO:3006255,ACT beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
